Совершенный код                                             С. Макконнелл
Программист-прагматик. Путь от подмастерья к мастеру        Э. Хант, Д. Томас
Паттерны проектирования                                     Э. Фримен, Э. Фримен, К. Сьерра, Б. Бейтс
Приемы объектно-ориентированного проектирования. Паттерны проектирования        Э. Гамма, Р. Хелм, Р. Джонсон, Дж. Влиссидес
UML основы                                                  Фаулер
Чистый код                                                  Роберт мартин
Принципы, паттерны и методики гибкой разработки на языке C#        Р. С. Мартин, М. Мартин
Рефакторинг с использованием шаблонов                       Джошуа Кериевски
Архитектура корпоративных приложений                        Фаулер
DDD                                                         Эванс
Рефакторинг баз данных        Скотт В. Эмблер, Прамодкумар Дж. Садаладж
Операционные системы         Столлингс
Оптимизация баз данных        Деннис Шаша, Филипп Бонне
Джоэл о программировании        Джоэл Спольски
Человеческий фактор. Успешные проекты и команды        Том Демарко и Тимоти Листер


PostgreSQL 9.0      High Performance     Gregory Smith


